id,nombre_pais,codigo_pais
240,Thailand,THA
241,Timor-Leste,TLS
242,Togo,TGO
243,Tonga,TON
244,Trinidad and Tobago,TTO
245,Tunisia,TUN
246,Turkiye,TUR
247,Turkmenistan,TKM
248,Turks and Caicos Islands,TCA
249,Tuvalu,TUV
250,Uganda,UGA
251,Ukraine,UKR
252,United Arab Emirates,ARE
253,United Kingdom,GBR
254,United States,USA
255,Upper middle income,UMC
256,Uruguay,URY
257,Uzbekistan,UZB
258,Vanuatu,VUT
259,"Venezuela, RB",VEN
260,Viet Nam,VNM
261,Virgin Islands (U.S.),VIR
262,West Bank and Gaza,PSE
263,World,WLD
264,"Yemen, Rep.",YEM
265,Zambia,ZMB
266,Zimbabwe,ZWE
